rmd_path,fig_id,fig_src,fig_url,ext,fig_path
01-introduction-to-geology.Rmd,figure-1-1,https://openpress.usask.ca/app/uploads/sites/29/2017/05/SK_badlands.png,https://openpress.usask.ca/app/uploads/sites/29/2017/05/SK_badlands.png,png,figures/01-introduction-to-geology/figure-1-1.png
01-introduction-to-geology.Rmd,figure-1-2,https://openpress.usask.ca/app/uploads/sites/29/2017/08/Rearguard_today_vs_1908.png,https://openpress.usask.ca/app/uploads/sites/29/2017/08/Rearguard_today_vs_1908.png,png,figures/01-introduction-to-geology/figure-1-2.png
01-introduction-to-geology.Rmd,figure-1-3,https://openpress.usask.ca/app/uploads/sites/29/2017/05/deadly-debris-flow-in-the-Riverside-Drive.jpg,https://openpress.usask.ca/app/uploads/sites/29/2017/05/deadly-debris-flow-in-the-Riverside-Drive.jpg,jpg,figures/01-introduction-to-geology/figure-1-3.jpg
01-introduction-to-geology.Rmd,figure-1-4,https://openpress.usask.ca/app/uploads/sites/29/2017/08/Svalbard.jpg,https://openpress.usask.ca/app/uploads/sites/29/2017/08/Svalbard.jpg,jpg,figures/01-introduction-to-geology/figure-1-4.jpg
01-introduction-to-geology.Rmd,figure-1-5,https://openpress.usask.ca/app/uploads/sites/29/2017/05/What-are-scientific-methods.jpg,https://openpress.usask.ca/app/uploads/sites/29/2017/05/What-are-scientific-methods.jpg,jpg,figures/01-introduction-to-geology/figure-1-5.jpg
01-introduction-to-geology.Rmd,figure-1-6,https://openpress.usask.ca/app/uploads/sites/29/2017/08/timescale.png,https://openpress.usask.ca/app/uploads/sites/29/2017/08/timescale.png,png,figures/01-introduction-to-geology/figure-1-6.png
01-introduction-to-geology.Rmd,figure-1-7,https://openpress.usask.ca/app/uploads/sites/29/2017/08/Proterozoic_1879.png,https://openpress.usask.ca/app/uploads/sites/29/2017/08/Proterozoic_1879.png,png,figures/01-introduction-to-geology/figure-1-7.png
01-introduction-to-geology.Rmd,figure-1-8,https://openpress.usask.ca/app/uploads/sites/29/2017/08/Plates_map_small.png,https://openpress.usask.ca/app/uploads/sites/29/2017/08/Plates_map_small.png,png,figures/01-introduction-to-geology/figure-1-8.png
02-the-origin-of-earth-and-the-solar-system.Rmd,figure-2-1,https://openpress.usask.ca/app/uploads/sites/29/2018/01/earth_and_limb_m1199291564l_color_2stretch_mask_0-1024x703.jpg,https://openpress.usask.ca/app/uploads/sites/29/2018/01/earth_and_limb_m1199291564l_color_2stretch_mask_0-1024x703.jpg,jpg,figures/02-the-origin-of-earth-and-the-solar-system/figure-2-1.jpg
02-the-origin-of-earth-and-the-solar-system.Rmd,figure-2-2,https://openpress.usask.ca/app/uploads/sites/29/2018/01/BB_CMB_r.png,https://openpress.usask.ca/app/uploads/sites/29/2018/01/BB_CMB_r.png,png,figures/02-the-origin-of-earth-and-the-solar-system/figure-2-2.png
02-the-origin-of-earth-and-the-solar-system.Rmd,figure-2-3,https://openpress.usask.ca/app/uploads/sites/29/2017/05/figure22.3.png,https://openpress.usask.ca/app/uploads/sites/29/2017/05/figure22.3.png,png,figures/02-the-origin-of-earth-and-the-solar-system/figure-2-3.png
02-the-origin-of-earth-and-the-solar-system.Rmd,figure-2-4,https://openpress.usask.ca/app/uploads/sites/29/2018/01/red_shift_spectra-1.png,https://openpress.usask.ca/app/uploads/sites/29/2018/01/red_shift_spectra-1.png,png,figures/02-the-origin-of-earth-and-the-solar-system/figure-2-4.png
02-the-origin-of-earth-and-the-solar-system.Rmd,figure-2-5,https://openpress.usask.ca/app/uploads/sites/29/2018/01/Pillars.png,https://openpress.usask.ca/app/uploads/sites/29/2018/01/Pillars.png,png,figures/02-the-origin-of-earth-and-the-solar-system/figure-2-5.png
02-the-origin-of-earth-and-the-solar-system.Rmd,figure-2-6,https://openpress.usask.ca/app/uploads/sites/29/2018/01/dust_bunnies.png,https://openpress.usask.ca/app/uploads/sites/29/2018/01/dust_bunnies.png,png,figures/02-the-origin-of-earth-and-the-solar-system/figure-2-6.png
02-the-origin-of-earth-and-the-solar-system.Rmd,figure-2-7,https://openpress.usask.ca/app/uploads/sites/29/2018/01/protoplanetary_disk.png,https://openpress.usask.ca/app/uploads/sites/29/2018/01/protoplanetary_disk.png,png,figures/02-the-origin-of-earth-and-the-solar-system/figure-2-7.png
02-the-origin-of-earth-and-the-solar-system.Rmd,figure-2-8,https://openpress.usask.ca/app/uploads/sites/29/2017/05/22.8-e1441139905761.png,https://openpress.usask.ca/app/uploads/sites/29/2017/05/22.8-e1441139905761.png,png,figures/02-the-origin-of-earth-and-the-solar-system/figure-2-8.png
